Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,Segment
12346,165,11,372.86,2,5,2,Can't Loose Them
12347,3,2,1323.32,5,2,4,Potential Loyalists
12348,74,1,222.16,2,1,1,Hibernating
12349,43,3,2671.14,3,3,5,Need Attention
12351,11,1,300.93,5,1,2,New Customers
12352,11,2,343.8,5,2,2,Potential Loyalists
12353,44,1,317.76,3,1,2,About to Sleep
12355,203,1,488.21,1,1,2,Hibernating
12356,16,3,3562.25,4,3,5,Potential Loyalists
12357,24,2,12079.99,4,2,5,Potential Loyalists
12358,11,3,2719.01,5,3,5,Potential Loyalists
12359,61,6,2563.36,3,4,5,Loyal Customers
12360,15,5,1590.83,5,4,4,Champions
12361,98,3,321.35,2,3,2,At Risk
12362,374,1,130.0,1,1,1,Hibernating
12366,269,1,500.24,1,1,2,Hibernating
12368,264,1,917.7,1,1,3,Hibernating
12369,49,3,1791.15,3,3,4,Need Attention
12370,260,3,774.62,1,3,3,At Risk
12371,45,3,2179.42,3,3,5,Need Attention
12373,260,2,763.0500000000001,1,2,3,Hibernating
12374,57,3,2246.29,3,3,5,Need Attention
12376,25,2,503.15,4,2,2,Potential Loyalists
12377,17,2,1798.2,4,2,4,Potential Loyalists
12378,198,1,1407.7,1,1,4,Hibernating
12379,58,2,767.98,3,2,3,About to Sleep
12380,101,7,6951.49,2,5,5,Can't Loose Them
12385,15,1,1938.4,5,1,4,New Customers
12386,2,1,258.90000000000003,5,1,2,New Customers
12387,51,1,143.94,3,1,1,About to Sleep
12388,81,2,1120.45,2,2,4,Hibernating
12389,38,3,1433.33,3,3,4,Need Attention
12391,100,5,2312.53,2,4,5,At Risk
12392,227,1,234.75000000000003,1,1,1,Hibernating
12393,18,2,816.85,4,2,3,Potential Loyalists
12395,7,4,2048.64,5,4,4,Champions
12396,310,1,931.43,1,1,3,Hibernating
12399,21,3,853.65,4,3,3,Potential Loyalists
12400,50,1,205.25,3,1,1,About to Sleep
12402,28,5,1031.3,4,4,4,Loyal Customers
12403,157,1,591.6600000000001,2,1,3,Hibernating
12404,318,1,63.24,1,1,1,Hibernating
12406,35,3,2975.06,4,3,5,Potential Loyalists
12408,21,3,1452.22,4,3,4,Potential Loyalists
12409,56,4,12346.62,3,4,5,Loyal Customers
12410,138,1,320.38,2,1,2,Hibernating
12411,45,1,346.9,3,1,2,About to Sleep
12412,38,3,1370.05,3,3,4,Need Attention
12413,38,1,241.35,3,1,1,About to Sleep
12414,99,3,390.0,2,3,2,At Risk
12415,11,7,19543.84,5,5,5,Champions
12416,292,1,202.56,1,1,1,Hibernating
12417,46,11,3167.81,3,5,5,Loyal Customers
12418,49,3,1352.62,3,3,4,Need Attention
12419,21,2,503.01,4,2,2,Potential Loyalists
12421,51,2,291.56,3,2,2,About to Sleep
12422,30,14,4428.24,4,5,5,Loyal Customers
12423,23,2,763.08,4,2,3,Potential Loyalists
12424,58,2,1579.07,3,2,4,About to Sleep
12425,84,1,964.21,2,1,3,Hibernating
12426,298,1,762.48,1,1,3,Hibernating
12427,7,1,303.5,5,1,2,New Customers
12429,1,5,3735.51,5,4,5,Champions
12431,9,13,4370.52,5,5,5,Champions
12433,2,5,7205.39,5,4,5,Champions
12434,17,1,297.29,4,1,2,Promising
12435,32,4,6096.04,4,4,5,Loyal Customers
12437,31,21,7731.99,4,5,5,Loyal Customers
12439,318,2,1158.18,1,2,4,Hibernating
12440,98,2,859.2,2,2,3,Hibernating
12441,2,1,173.55,5,1,1,New Customers
12443,368,1,485.31,1,1,2,Hibernating
12445,56,1,301.58000000000004,3,1,2,About to Sleep
12449,46,2,768.6,3,2,3,About to Sleep
12450,35,3,490.32,4,3,2,Potential Loyalists
12451,99,3,3634.36,2,3,5,At Risk
12454,31,4,13151.44,4,4,5,Loyal Customers
12455,81,4,3413.09,2,4,5,At Risk
12457,71,1,632.6800000000001,3,1,3,About to Sleep
12458,63,2,830.09,3,2,3,About to Sleep
12459,241,1,454.36,1,1,2,Hibernating
12460,92,1,326.65,2,1,2,Hibernating
12466,318,1,56.73,1,1,1,Hibernating
12467,59,1,132.8,3,1,1,About to Sleep
12468,162,3,2941.2,2,3,5,At Risk
12469,158,2,3070.54,2,2,5,Hibernating
12470,325,1,211.95,1,1,1,Hibernating
12471,10,49,20139.74,5,5,5,Champions
12472,5,13,11308.48,5,5,5,Champions
12474,14,13,5048.66,5,5,5,Champions
12475,45,1,426.26,3,1,2,About to Sleep
12476,32,12,7298.99,4,5,5,Loyal Customers
12477,35,3,7056.63,4,3,5,Potential Loyalists
12480,35,3,2183.2200000000003,4,3,5,Potential Loyalists
12481,1,6,6765.07,5,4,5,Champions
12482,212,29,23691.4,1,5,5,Can't Loose Them
12483,14,11,2635.6,5,5,5,Champions
12484,119,6,1828.43,2,4,4,At Risk
12485,165,1,708.1,2,1,3,Hibernating
12486,67,1,1037.28,3,1,4,About to Sleep
12487,366,1,285.3,1,1,2,Hibernating
12490,14,11,4405.71,5,5,5,Champions
12492,39,1,452.0,3,1,2,About to Sleep
12494,1,3,626.77,5,3,3,Potential Loyalists
12495,276,1,357.4,1,1,2,Hibernating
12496,256,2,54.09,1,2,1,Hibernating
12497,36,2,5205.400000000001,4,2,5,Potential Loyalists
12499,196,1,393.72,1,1,2,Hibernating
12500,71,8,1697.39,3,5,4,Loyal Customers
12503,220,1,1126.0,1,1,4,Hibernating
12504,53,2,297.0,3,2,2,About to Sleep
12505,44,1,955.2,3,1,3,About to Sleep
12507,220,1,539.25,1,1,3,Hibernating
12510,95,7,4195.45,2,5,5,Can't Loose Them
12511,64,1,3084.02,3,1,5,About to Sleep
12514,277,1,580.08,1,1,3,Hibernating
12516,66,2,1336.56,3,2,4,About to Sleep
12519,112,1,385.7000000000001,2,1,2,Hibernating
12523,10,12,2582.38,5,5,5,Champions
12524,24,9,6640.39,4,5,5,Loyal Customers
12525,134,3,973.73,2,3,3,At Risk
12527,130,2,386.8,2,2,2,Hibernating
12529,164,1,316.48,2,1,2,Hibernating
12530,51,5,2096.98,3,4,4,Loyal Customers
12531,322,1,1807.98,1,1,4,Hibernating
12533,263,2,1367.89,1,2,4,Hibernating
12537,44,1,732.94,3,1,3,About to Sleep
12538,14,1,276.5,5,1,2,New Customers
12539,86,3,5646.400000000001,2,3,5,At Risk
12540,14,16,8854.25,5,5,5,Champions
12542,120,2,481.88,2,2,2,Hibernating
12543,84,1,980.25,2,1,3,Hibernating
12547,136,1,175.78,2,1,1,Hibernating
12549,211,6,1575.68,1,4,4,At Risk
12553,21,2,916.47,4,2,3,Potential Loyalists
12554,84,1,468.5,2,1,2,Hibernating
12555,318,1,129.23,1,1,1,Hibernating
12557,7,4,6725.18,5,4,5,Champions
12562,21,2,1185.18,4,2,4,Potential Loyalists
12563,44,1,249.24,3,1,1,About to Sleep
12567,3,7,4308.58,5,5,5,Champions
12568,280,1,70.0,1,1,1,Hibernating
12570,318,1,77.52,1,1,1,Hibernating
