Customer ID,Recency,Frequency,Monetary,Cluster,Cluster_Name,Marketing_Strategy
12346,165,11,372.86,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12347,3,2,1323.32,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12348,74,1,222.16,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12349,43,3,2671.14,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12351,11,1,300.93,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12352,11,2,343.8,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12353,44,1,317.76,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12355,203,1,488.21,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12356,16,3,3562.25,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12357,24,2,12079.99,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12358,11,3,2719.01,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12359,61,6,2563.36,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12360,15,5,1590.83,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12361,98,3,321.35,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12362,374,1,130.0,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12366,269,1,500.24,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12368,264,1,917.7,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12369,49,3,1791.15,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12370,260,3,774.62,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12371,45,3,2179.42,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
12373,260,2,763.0500000000001,1,At Risk / Lost,"Win-back campaigns, Massive discounts, Surveys to find why they left."
12374,57,3,2246.29,2,Regular / Loyal,"Loyalty programs, Upselling, Moderate discounts to keep them active."
