Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score
12346,165,11,372.86,2,5,2,252
12347,3,2,1323.32,5,2,4,524
12348,74,1,222.15999999999997,2,1,1,211
12349,43,3,2671.14,3,3,5,335
12351,11,1,300.93,5,1,2,512
12352,11,2,343.8,5,2,2,522
12353,44,1,317.76,3,1,2,312
12355,203,1,488.21000000000004,1,1,2,112
12356,16,3,3562.25,4,3,5,435
12357,24,2,12079.99,4,2,5,425
12358,11,3,2719.01,5,3,5,535
12359,61,6,2563.36,3,4,5,345
12360,15,5,1590.83,5,4,4,544
12361,98,3,321.35,2,3,2,232
12362,374,1,130.0,1,1,1,111
12366,269,1,500.24,1,1,2,112
12368,264,1,917.7,1,1,3,113
12369,49,3,1791.15,3,3,4,334
12370,260,3,774.62,1,3,3,133
12371,45,3,2179.42,3,3,5,335
12373,260,2,763.0500000000001,1,2,3,123
12374,57,3,2246.29,3,3,5,335
12376,25,2,503.15,4,2,2,422
12377,17,2,1798.2,4,2,4,424
12378,198,1,1407.7,1,1,4,114
12379,58,2,767.98,3,2,3,323
12380,101,7,6951.49,2,5,5,255
12385,15,1,1938.4,5,1,4,514
12386,2,1,258.90000000000003,5,1,2,512
12387,51,1,143.94,3,1,1,311
12388,81,2,1120.45,2,2,4,224
12389,38,3,1433.33,3,3,4,334
12391,100,5,2312.53,2,4,5,245
12392,227,1,234.75000000000003,1,1,1,111
12393,18,2,816.85,4,2,3,423
12395,7,4,2048.64,5,4,4,544
12396,310,1,931.4300000000001,1,1,3,113
12399,21,3,853.65,4,3,3,433
12400,50,1,205.25,3,1,1,311
12402,28,5,1031.3,4,4,4,444
12403,157,1,591.6600000000001,2,1,3,213
12404,318,1,63.24,1,1,1,111
12406,35,3,2975.06,4,3,5,435
12408,21,3,1452.22,4,3,4,434
12409,56,4,12346.62,3,4,5,345
12410,138,1,320.38,2,1,2,212
12411,45,1,346.9,3,1,2,312
12412,38,3,1370.05,3,3,4,334
12413,38,1,241.35,3,1,1,311
12414,99,3,390.0,2,3,2,232
12415,11,7,19543.84,5,5,5,555
12416,292,1,202.56,1,1,1,111
12417,46,11,3167.81,3,5,5,355
12418,49,3,1352.62,3,3,4,334
12419,21,2,503.01,4,2,2,422
12421,51,2,291.56,3,2,2,322
12422,30,14,4428.24,4,5,5,455
12423,23,2,763.08,4,2,3,423
12424,58,2,1579.07,3,2,4,324
12425,84,1,964.21,2,1,3,213
12426,298,1,762.48,1,1,3,113
12427,7,1,303.5,5,1,2,512
12429,1,5,3735.51,5,4,5,545
12431,9,13,4370.52,5,5,5,555
12433,2,5,7205.39,5,4,5,545
12434,17,1,297.29,4,1,2,412
12435,32,4,6096.04,4,4,5,445
12437,31,21,7731.99,4,5,5,455
12439,318,2,1158.18,1,2,4,124
12440,98,2,859.2,2,2,3,223
12441,2,1,173.55,5,1,1,511
12443,368,1,485.31,1,1,2,112
12445,56,1,301.58000000000004,3,1,2,312
12449,46,2,768.6,3,2,3,323
12450,35,3,490.32,4,3,2,432
12451,99,3,3634.36,2,3,5,235
12454,31,4,13151.44,4,4,5,445
12455,81,4,3413.09,2,4,5,245
12457,71,1,632.6800000000001,3,1,3,313
12458,63,2,830.09,3,2,3,323
12459,241,1,454.36,1,1,2,112
12460,92,1,326.65,2,1,2,212
12466,318,1,56.73,1,1,1,111
12467,59,1,132.8,3,1,1,311
12468,162,3,2941.2,2,3,5,235
12469,158,2,3070.54,2,2,5,225
12470,325,1,211.95,1,1,1,111
12471,10,49,20139.74,5,5,5,555
12472,5,13,11308.48,5,5,5,555
12474,14,13,5048.66,5,5,5,555
12475,45,1,426.26,3,1,2,312
12476,32,12,7298.99,4,5,5,455
12477,35,3,7056.63,4,3,5,435
12480,35,3,2183.2200000000003,4,3,5,435
12481,1,6,6765.07,5,4,5,545
12482,212,29,23691.4,1,5,5,155
12483,14,11,2635.6,5,5,5,555
12484,119,6,1828.43,2,4,4,244
12485,165,1,708.1,2,1,3,213
12486,67,1,1037.28,3,1,4,314
12487,366,1,285.3,1,1,2,112
12490,14,11,4405.71,5,5,5,555
12492,39,1,452.0,3,1,2,312
12494,1,3,626.77,5,3,3,533
12495,276,1,357.4,1,1,2,112
12496,256,2,54.09,1,2,1,121
12497,36,2,5205.400000000001,4,2,5,425
12499,196,1,393.72,1,1,2,112
12500,71,8,1697.39,3,5,4,354
12503,220,1,1126.0,1,1,4,114
12504,53,2,297.0,3,2,2,322
12505,44,1,955.2,3,1,3,313
12507,220,1,539.25,1,1,3,113
12510,95,7,4195.45,2,5,5,255
12511,64,1,3084.02,3,1,5,315
12514,277,1,580.08,1,1,3,113
12516,66,2,1336.56,3,2,4,324
12519,112,1,385.70000000000005,2,1,2,212
12523,10,12,2582.38,5,5,5,555
12524,24,9,6640.39,4,5,5,455
12525,134,3,973.73,2,3,3,233
12527,130,2,386.8,2,2,2,222
12529,164,1,316.48,2,1,2,212
12530,51,5,2096.98,3,4,4,344
12531,322,1,1807.98,1,1,4,114
12533,263,2,1367.89,1,2,4,124
12537,44,1,732.94,3,1,3,313
12538,14,1,276.5,5,1,2,512
12539,86,3,5646.400000000001,2,3,5,235
12540,14,16,8854.25,5,5,5,555
12542,120,2,481.88,2,2,2,222
12543,84,1,980.25,2,1,3,213
12547,136,1,175.78,2,1,1,211
12549,211,6,1575.68,1,4,4,144
12553,21,2,916.47,4,2,3,423
12554,84,1,468.5,2,1,2,212
12555,318,1,129.23,1,1,1,111
12557,7,4,6725.18,5,4,5,545
12562,21,2,1185.18,4,2,4,424
12563,44,1,249.24,3,1,1,311
12567,3,7,4308.58,5,5,5,555
12568,280,1,70.0,1,1,1,111
12570,318,1,77.52,1,1,1,111
12573,17,4,556.87,4,4,3,443
12575,93,2,622.82,2,2,3,223
12576,28,3,826.89,4,3,3,433
12577,17,5,995.9499999999999,4,4,4,444
12578,21,2,1847.94,4,2,4,424
12580,212,1,637.2,1,1,3,113
12582,58,2,1469.04,3,2,4,324
12583,9,13,7166.06,5,5,5,555
12586,10,3,1865.73,5,3,4,534
12588,35,3,743.88,4,3,3,433
12589,57,6,4048.98,3,4,5,345
12591,26,2,899.3,4,2,3,423
12592,155,3,2145.06,2,3,4,234
12594,14,5,1751.89,5,4,4,544
12595,140,1,299.02,2,1,2,212
12598,99,3,1511.01,2,3,4,234
12599,17,6,1264.14,4,4,4,444
12600,7,12,2444.88,5,5,5,555
12601,40,1,104.2,3,1,1,311
12605,12,4,1232.95,5,4,4,544
12606,318,1,21.0,1,1,1,111
12608,40,1,415.79,3,1,2,312
12609,10,6,2309.01,5,4,5,545
12613,24,5,3490.69,4,4,5,445
12615,49,4,3449.79,3,4,5,345
12616,24,1,417.8,4,1,2,412
12619,196,1,140.14,1,1,1,111
12621,1,16,11086.14,5,5,5,555
12623,52,6,3442.7400000000002,3,4,5,345
12625,145,2,2481.06,2,2,5,225
12629,21,2,1558.22,4,2,4,424
12631,92,5,2841.07,2,4,5,245
12632,156,2,804.88,2,2,3,223
12633,18,3,3514.18,4,3,5,435
12634,171,2,490.0,2,2,2,222
12635,28,2,1241.23,4,2,4,424
12636,374,1,141.0,1,1,1,111
12637,14,4,2318.41,5,4,5,545
12638,275,1,249.8,1,1,1,111
12639,70,2,826.27,3,2,3,323
12643,21,6,5005.78,4,4,5,445
12644,66,3,1440.58,3,3,4,334
12645,45,4,1764.12,3,4,4,344
12647,3,27,14201.53,5,5,5,555
12648,73,3,793.95,2,3,3,233
12649,18,5,1671.14,4,4,4,444
12651,14,3,263.75,5,3,2,532
12652,70,1,97.05000000000001,3,1,1,311
12653,162,1,1950.98,2,1,4,214
12655,59,1,261.35,3,1,2,312
12656,61,3,2356.66,3,3,5,335
12661,72,1,162.0,2,1,1,211
12662,9,10,3138.2400000000002,5,5,5,555
12663,260,2,239.4,1,2,1,121
12664,150,2,1188.16,2,2,4,224
12665,53,2,250.6,3,2,1,321
12666,30,1,1248.42,4,1,4,414
12668,14,6,7637.53,5,4,5,545
12670,21,2,764.24,4,2,3,423
12671,242,1,2622.481,1,1,5,115
12672,231,1,211.15,1,1,1,111
12673,37,1,619.5,3,1,3,313
12675,189,2,958.5,1,2,3,123
12676,44,5,1511.7,3,4,4,344
12677,191,2,395.1,1,2,2,122
12678,11,9,16652.72,5,5,5,555
12681,3,24,17080.74,5,5,5,555
12682,1,23,11745.69,5,5,5,555
12683,1,8,4220.21,5,5,5,555
12686,7,1,89.14,5,1,1,511
12687,116,2,2138.91,2,2,4,224
12691,56,1,134.6,3,1,1,311
12692,273,1,110.95,1,1,1,111
12693,32,3,847.11,4,3,3,433
12694,57,1,973.68,3,1,3,313
12695,164,3,825.02,2,3,3,233
12696,70,2,851.91,3,2,3,323
12698,226,1,339.75,1,1,2,112
12699,53,1,638.11,3,1,3,313
12701,165,4,1648.7,2,4,4,244
12703,269,3,722.98,1,3,3,133
12705,19,5,4893.81,4,4,5,445
12708,4,9,2601.19,5,5,5,555
12709,2,20,21356.82,5,5,5,555
12711,247,2,1339.05,1,2,4,124
12712,1,10,2797.53,5,5,5,555
12714,24,7,9384.85,4,5,5,455
12717,226,1,277.93,1,1,2,112
12720,5,6,2478.94,5,4,5,545
12721,21,2,1356.95,4,2,4,424
12724,19,3,1286.11,4,3,4,434
12725,7,4,2266.76,5,4,5,545
12726,23,4,1405.5,4,4,4,444
12727,78,3,1698.8300000000002,2,3,4,234
12728,19,1,233.84,4,1,1,411
12730,157,1,829.25,2,1,3,213
12731,78,5,6879.8,2,4,5,245
12733,25,3,2040.92,4,3,4,434
12734,10,2,529.25,5,2,3,523
12737,134,2,3710.5,2,2,5,225
12738,8,1,155.35,5,1,1,511
12739,21,2,1713.69,4,2,4,424
12741,165,2,406.07,2,2,2,222
12742,261,1,1201.52,1,1,4,114
12744,95,4,4037.77,2,4,5,245
12745,122,3,925.41,2,3,3,233
12746,176,1,254.55,2,1,2,212
12747,5,16,5080.53,5,5,5,555
12748,1,144,22879.66,5,5,5,555
12749,35,4,2806.48,4,4,5,445
12751,80,1,268.27,2,1,2,212
12755,1,10,5218.71,5,5,5,555
12758,95,5,7111.650000000001,2,4,5,245
12759,22,5,3489.3,4,4,5,445
12760,91,1,347.8,2,1,2,212
12761,93,2,782.95,2,2,3,223
12763,5,1,320.08,5,1,2,512
12765,108,6,1404.58,2,4,4,244
12766,2,3,3078.65,5,3,5,535
12767,11,1,949.82,5,1,3,513
12768,86,1,168.69,2,1,1,211
12770,92,1,1895.0,2,1,4,214
12771,121,1,282.3,2,1,2,212
12773,200,1,124.25,1,1,1,111
12774,171,1,98.7,2,1,1,211
12775,24,2,300.08000000000004,4,2,2,422
12776,303,1,55.5,1,1,1,111
12777,93,1,519.45,2,1,3,213
12778,32,3,953.4499999999999,4,3,3,433
12779,7,7,2740.91,5,5,5,555
12780,234,1,337.4,1,1,2,112
12782,10,6,2287.32,5,4,5,545
12784,165,1,1230.33,2,1,4,214
12785,171,2,788.45,2,2,3,223
12786,245,1,728.5000000000001,1,1,3,113
