Customer ID,Recency,Frequency,Monetary
12346,165,11,372.86
12347,3,2,1323.32
12348,74,1,222.15999999999997
12349,43,3,2671.14
12351,11,1,300.93
12352,11,2,343.8
12353,44,1,317.76
12355,203,1,488.21000000000004
12356,16,3,3562.25
12357,24,2,12079.99
12358,11,3,2719.01
12359,61,6,2563.36
12360,15,5,1590.83
12361,98,3,321.35
12362,374,1,130.0
12366,269,1,500.24
12368,264,1,917.7
12369,49,3,1791.15
12370,260,3,774.62
12371,45,3,2179.42
12373,260,2,763.0500000000001
12374,57,3,2246.29
12376,25,2,503.15
12377,17,2,1798.2
12378,198,1,1407.7
12379,58,2,767.98
12380,101,7,6951.49
12385,15,1,1938.4
12386,2,1,258.90000000000003
12387,51,1,143.94
12388,81,2,1120.45
12389,38,3,1433.33
12391,100,5,2312.53
12392,227,1,234.75000000000003
12393,18,2,816.85
12395,7,4,2048.64
12396,310,1,931.4300000000001
12399,21,3,853.65
12400,50,1,205.25
12402,28,5,1031.3
12403,157,1,591.6600000000001
12404,318,1,63.24
12406,35,3,2975.06
12408,21,3,1452.22
12409,56,4,12346.62
12410,138,1,320.38
12411,45,1,346.9
12412,38,3,1370.05
12413,38,1,241.35
12414,99,3,390.0
12415,11,7,19543.84
12416,292,1,202.56
12417,46,11,3167.81
12418,49,3,1352.62
12419,21,2,503.01
12421,51,2,291.56
12422,30,14,4428.24
12423,23,2,763.08
12424,58,2,1579.07
12425,84,1,964.21
12426,298,1,762.48
12427,7,1,303.5
12429,1,5,3735.51
12431,9,13,4370.52
12433,2,5,7205.39
12434,17,1,297.29
12435,32,4,6096.04
12437,31,21,7731.99
12439,318,2,1158.18
12440,98,2,859.2
12441,2,1,173.55
12443,368,1,485.31
12445,56,1,301.58000000000004
12449,46,2,768.6
12450,35,3,490.32
12451,99,3,3634.36
12454,31,4,13151.44
12455,81,4,3413.09
12457,71,1,632.6800000000001
12458,63,2,830.09
12459,241,1,454.36
12460,92,1,326.65
12466,318,1,56.73
12467,59,1,132.8
12468,162,3,2941.2
12469,158,2,3070.54
12470,325,1,211.95
12471,10,49,20139.74
12472,5,13,11308.48
12474,14,13,5048.66
12475,45,1,426.26
12476,32,12,7298.99
12477,35,3,7056.63
12480,35,3,2183.2200000000003
12481,1,6,6765.07
12482,212,29,23691.4
12483,14,11,2635.6
12484,119,6,1828.43
12485,165,1,708.1
12486,67,1,1037.28
12487,366,1,285.3
12490,14,11,4405.71
12492,39,1,452.0
12494,1,3,626.77
12495,276,1,357.4
12496,256,2,54.09
12497,36,2,5205.400000000001
12499,196,1,393.72
12500,71,8,1697.39
12503,220,1,1126.0
12504,53,2,297.0
12505,44,1,955.2
12507,220,1,539.25
12510,95,7,4195.45
12511,64,1,3084.02
12514,277,1,580.08
12516,66,2,1336.56
12519,112,1,385.70000000000005
12523,10,12,2582.38
12524,24,9,6640.39
12525,134,3,973.73
12527,130,2,386.8
12529,164,1,316.48
12530,51,5,2096.98
12531,322,1,1807.98
12533,263,2,1367.89
12537,44,1,732.94
12538,14,1,276.5
12539,86,3,5646.400000000001
12540,14,16,8854.25
12542,120,2,481.88
12543,84,1,980.25
12547,136,1,175.78
12549,211,6,1575.68
12553,21,2,916.47
12554,84,1,468.5
12555,318,1,129.23
12557,7,4,6725.18
12562,21,2,1185.18
12563,44,1,249.24
12567,3,7,4308.58
12568,280,1,70.0
12570,318,1,77.52
12573,17,4,556.87
12575,93,2,622.82
12576,28,3,826.89
12577,17,5,995.9499999999999
12578,21,2,1847.94
12580,212,1,637.2
12582,58,2,1469.04
12583,9,13,7166.06
12586,10,3,1865.73
12588,35,3,743.88
12589,57,6,4048.98
12591,26,2,899.3
12592,155,3,2145.06
12594,14,5,1751.89
12595,140,1,299.02
12598,99,3,1511.01
12599,17,6,1264.14
12600,7,12,2444.88
12601,40,1,104.2
12605,12,4,1232.95
12606,318,1,21.0
12608,40,1,415.79
12609,10,6,2309.01
12613,24,5,3490.69
12615,49,4,3449.79
12616,24,1,417.8
12619,196,1,140.14
12621,1,16,11086.14
12623,52,6,3442.7400000000002
12625,145,2,2481.06
12629,21,2,1558.22
12631,92,5,2841.07
12632,156,2,804.88
12633,18,3,3514.18
12634,171,2,490.0
12635,28,2,1241.23
12636,374,1,141.0
12637,14,4,2318.41
12638,275,1,249.8
12639,70,2,826.27
12643,21,6,5005.78
12644,66,3,1440.58
12645,45,4,1764.12
12647,3,27,14201.53
12648,73,3,793.95
12649,18,5,1671.14
12651,14,3,263.75
12652,70,1,97.05000000000001
12653,162,1,1950.98
12655,59,1,261.35
12656,61,3,2356.66
12661,72,1,162.0
12662,9,10,3138.2400000000002
12663,260,2,239.4
12664,150,2,1188.16
12665,53,2,250.6
12666,30,1,1248.42
12668,14,6,7637.53
12670,21,2,764.24
12671,242,1,2622.481
12672,231,1,211.15
12673,37,1,619.5
12675,189,2,958.5
12676,44,5,1511.7
12677,191,2,395.1
12678,11,9,16652.72
12681,3,24,17080.74
12682,1,23,11745.69
12683,1,8,4220.21
12686,7,1,89.14
12687,116,2,2138.91
12691,56,1,134.6
12692,273,1,110.95
12693,32,3,847.11
12694,57,1,973.68
12695,164,3,825.02
12696,70,2,851.91
12698,226,1,339.75
12699,53,1,638.11
12701,165,4,1648.7
12703,269,3,722.98
12705,19,5,4893.81
12708,4,9,2601.19
12709,2,20,21356.82
12711,247,2,1339.05
12712,1,10,2797.53
12714,24,7,9384.85
12717,226,1,277.93
12720,5,6,2478.94
12721,21,2,1356.95
12724,19,3,1286.11
12725,7,4,2266.76
12726,23,4,1405.5
12727,78,3,1698.8300000000002
12728,19,1,233.84
12730,157,1,829.25
12731,78,5,6879.8
12733,25,3,2040.92
12734,10,2,529.25
12737,134,2,3710.5
12738,8,1,155.35
12739,21,2,1713.69
12741,165,2,406.07
12742,261,1,1201.52
12744,95,4,4037.77
12745,122,3,925.41
12746,176,1,254.55
12747,5,16,5080.53
12748,1,144,22879.66
12749,35,4,2806.48
12751,80,1,268.27
12755,1,10,5218.71
12758,95,5,7111.650000000001
12759,22,5,3489.3
12760,91,1,347.8
12761,93,2,782.95
12763,5,1,320.08
12765,108,6,1404.58
12766,2,3,3078.65
12767,11,1,949.82
12768,86,1,168.69
12770,92,1,1895.0
12771,121,1,282.3
12773,200,1,124.25
12774,171,1,98.7
12775,24,2,300.08000000000004
12776,303,1,55.5
12777,93,1,519.45
12778,32,3,953.4499999999999
12779,7,7,2740.91
